世次	周	周-史記	魯	魯-史記	齊	齊-史記	秦	秦-史記	楚	楚-史記	陳	陳-史記	吳	吳-史記	衛	衛-史記	鄭	鄭-史記	宋	宋-史記	杞	杞-史記	曹	曹-史記	蔡	蔡-史記	晉	晉-史記	曲沃	許	滕	邾	莒	薛	北燕	息	芮	鄧
28		元王（仁）		元公嘉	齊悼公陽生	悼公陽生		惠文君	楚平王棄疾，又名居	楚平王棄疾，又名居					衛靈公元	衛靈公元				宋昭公特							晉平公彪	晉平公彪										
29		定王（介）		穆公顯	齊簡公壬	簡公壬		武王（賈誼作悼武王）	楚昭王壬，又名軫	楚昭王珍					衛出公輒	衛出公輒				宋悼公購由							晉昭公夷	晉昭公夷										
30		哀王（去疾）		共公奮	齊平公敬，見哀十七年傳注	平公驁		昭襄王	楚惠王	楚惠王章					衛莊公蒯聵	衛莊公蒯聵				宋休公田							晉頃公去疾	晉頃公去疾										
31		思王（叔）		康公屯		宣公積		孝文王		楚簡王中					公子起	衛君起				宋辟公辟兵							晉定公午	晉定公午										
32		考王（嵬）		景公匽		康公貸		莊襄王		楚聲王當					衛出公輒	衛出公輒				剔成								晉出公										
33		威烈王（午）		平公叔				秦始皇		楚悼王疑					衛悼公黚	衛悼公黔				宋君偃								晉哀公驕										
34		安王（驕）		文公賈				秦二世		楚肅王臧						衛敬公弗												晉幽公柳										
35		烈王（喜）		頃公讎				子嬰		楚宣王熊良夫						衛昭公糾												晉烈公止										
36		顯王（扁）								楚威王熊商						衛懷公亹												晉孝公頎										
37		慎靚王（定）								楚懷王熊槐						衛慎公穨												晉靜公俱酒										
38		赧王（延）								楚頃襄王橫						衛聲公訓																						
39										楚考烈王熊元						衛成侯遫																						
40										楚幽王悍						衛平侯																						
41										楚哀王猶						衛嗣君																						
42										楚王負芻						衛懷君																						
43																衛元君																						
																衛君角																						
