name,國,volume,所見名,註,occurrence,nameFreq
臧武仲,魯,成公十八年傳，襄公四年傳，襄公十一年傳，襄公十三年傳，襄公十四年傳，襄公十七年傳，襄公十九年傳，襄公二十一年傳，襄公二十二年傳，襄公二十三年經，襄公二十三年傳，昭公七年傳，昭公十年傳，昭公二十五年傳,臧武仲，臧紇，臧，臧孫紇，臧孫，武仲，紇,臧文仲孫，臧宣叔子,23,7
荀吳,晉,襄公十九年傳，襄公二十六年經，襄公二十六年傳，昭公元年經，昭公元年傳，昭公五年傳，昭公十一年傳，昭公十二年傳，昭公十三年傳，昭公十五年經，昭公十五年傳，昭公十七年經，昭公十七年傳，昭公二十一年傳，昭公二十二年傳,鄭甥，吳，荀吳，中行穆子，中行吳，中行伯，穆子,母鄭女；荀偃之子,21,7
荀林父,晉,僖公二十七年傳，僖公二十八年傳，文公七年傳，文公十二年傳，文公十三年傳，文公十七年傳，宣公元年傳，宣公五年傳，宣公六年傳，宣公九年經，宣公十二年經，宣公十二年傳，宣公十四年傳，宣公十五年傳，成公二年傳，成公十六年傳,荀林父，荀伯，中行桓子，桓子，林父，伯氏，中行伯,中行桓子；荀林父字伯,21,7
荀罃,晉,宣公十二年傳，成公二年傳，成公三年傳，成公十三年傳，成公十六年傳，成公十七年經，成公十八年傳，襄公元年經，襄公元年傳，襄公二年經，襄公二年傳，襄公三年經，襄公三年傳，襄公四年傳，襄公八年傳，襄公九年傳，襄公十年傳，襄公十一年傳，襄公十三年傳，襄公十四年傳,知，荀，荀罃，知武子，知伯，知罃，武子,知莊子荀首之子,27,7
荀躒,晉,昭公九年傳，昭公十五年傳，昭公二十二年傳，昭公二十六年傳，昭公二十八年傳，昭公三十一年經，昭公三十一年傳，定公十三年傳，定公十四年傳,荀躒，文伯，知躒，躒，知伯，知文子，文子,荀盈之子知文子,15,7
荀首,晉,宣公十二年傳，成公二年傳，成公三年傳，成公四年傳，成公五年經，成公六年傳，成公八年傳,荀首，知莊子，知季子，知季，知之父，首，知,荀林父弟；知父,11,7
趙衰,晉,僖公二十三年傳，僖公二十四年傳，僖公二十五年傳，僖公二十七年傳，僖公三十一年傳，文公二年傳，文公五年傳，文公六年傳，文公七年傳，文公八年傳，成公八年傳，昭公元年傳，昭公十三年傳,趙衰，衰，子餘，趙成子，成季，趙，孟子餘,趙夙弟；字,16,7
趙鞅,晉,昭公二十五年經，昭公二十五年傳，昭公二十六年傳，昭公二十九年傳，昭公三十一年傳，定公四年傳，定公六年傳，定公八年傳，定公十年經，定公十三年經，定公十三年傳，定公十四年傳，哀公元年傳，哀公二年經，哀公二年傳，哀公三年傳，哀公五年經，哀公六年經，哀公九年傳，哀公十年經，哀公十年傳，哀公十三年傳，哀公十四年經，哀公十四年傳，哀公十五年經，哀公十七年傳，哀公二十年傳,趙鞅，趙簡子，簡子，鞅，趙孟，志父，先主,趙武孫；趙鞅之一名,39,7
郤克,晉,宣公十二年傳，宣公十七年傳，成公二年經，成公二年傳，成公三年經,郤克，郤獻子，駒伯，郤子，獻子，克，郤伯,郤缺之子,13,7
公子遂,魯,僖公二十六年經，僖公二十六年傳，僖公二十七年經，僖公二十八年經，僖公三十年經，僖公三十年傳，僖公三十一年經，僖公三十一年傳，僖公三十三年經，僖公三十三年傳，文公二年經，文公二年傳，文公六年經，文公六年傳，文公七年傳，文公八年經，文公八年傳，文公九年傳，文公十一年經，文公十一年傳，文公十二年傳，文公十四年傳，文公十五年傳，文公十六年經，文公十六年傳，文公十七年經，文公十七年傳，文公十八年經，文公十八年傳，宣公元年經，宣公八年經，宣公八年傳，宣公十八年傳，襄公二十三年傳，昭公三十二年傳,公子遂，東門襄仲，襄仲，仲，仲遂，東門遂,魯卿；襄仲子公孫歸父,38,6
公孫段,鄭,襄公二十七年傳，襄公二十九年經，襄公三十年傳，昭公元年傳，昭公三年傳，昭公七年傳,二子石，公孫段，豐，伯石，豐氏，段,,11,6
叔孫州仇,魯,定公八年傳，定公十年經，定公十年傳，定公十二年經，哀公二年經，哀公三年經，哀公十一年傳,武叔，叔孫州仇，武叔懿子，叔孫，子叔孫，州仇,叔孫不敢之子州仇,12,6
向魋,宋,定公十年傳，定公十一年傳，哀公十一年傳，哀公十三年傳，哀公十四年經，哀公十四年傳，哀公十七年傳,向魋，魋，桓氏，桓魋，左師，桓司馬,,16,6
周敬王,周,昭公二十二年傳，昭公二十三年經，昭公二十三年傳，昭公二十四年傳，昭公二十五年傳，昭公二十六年經，昭公二十六年傳，昭公三十二年傳，定公六年傳，定公七年傳，定公十四年經，哀公十六年傳，哀公十九年傳,敬王，天王，王，東王，天子，余一人,王子猛母弟王子匄,17,6
周襄王,周,僖公五年經，僖公五年傳，僖公七年傳，僖公八年傳，僖公十一年傳，僖公十二年傳，僖公十六年傳，僖公二十四年經，僖公二十四年傳，僖公二十七年傳，僖公二十八年經，僖公二十八年傳，僖公三十年經，僖公三十年傳，文公元年經，文公元年傳，文公五年經，文公八年經，文公八年傳，文公九年經，成公十一年傳，襄公八年傳，襄公二十五年傳，昭公十五年傳,王世子，王大子鄭，襄王，天王，王，襄,周惠王大子,26,6
士燮,晉,宣公十七年傳，成公二年傳，成公四年傳，成公六年傳，成公八年經，成公八年傳，成公九年傳，成公十一年傳，成公十二年傳，成公十三年傳，成公十五年經，成公十六年傳，成公十七年傳，襄公二十六年傳,文子，燮，士燮，范叔，范文子，范,士會之子；范文子,24,6
士鞅,晉,襄公十四年傳，襄公十六年傳，襄公十八年傳，襄公二十一年傳，襄公二十三年傳，襄公二十九年經，襄公二十九年傳，昭公五年傳，昭公六年傳，昭公二十一年經，昭公二十一年傳，昭公二十三年傳，昭公二十四年傳，昭公二十七年經，昭公二十七年傳，昭公三十一年傳，昭公三十二年傳，定公元年傳，定公四年經，定公四年傳，定公五年經，定公六年傳，定公八年經，定公八年傳，哀公七年傳,士鞅，范鞅，鞅，范獻子，范叔，獻子,士匄子,34,6
大子建,楚,昭公十九年傳，昭公二十年傳，昭公二十三年傳，昭公二十六年傳，昭公二十七年傳，哀公十六年傳,大子建，建，大子，楚建，王子建，子木,,12,6
夫差,吳,定公十四年傳，哀公元年傳，哀公十三年經，哀公十三年傳，哀公二十年傳，哀公二十二年傳,夫差，吳王夫差，吳子，王，吳王，寡人,闔廬嗣子,12,6
女齊,晉,襄公二十六年傳，襄公二十九年傳，襄公三十年傳，昭公元年傳，昭公四年傳，昭公五年傳,女齊，司馬女叔侯，齊，叔侯，司馬侯，女叔齊,司馬侯,12,6
孔子,魯,僖公二十八年傳，文公二年傳，宣公九年傳，成公十七年傳，襄公十年傳，襄公二十三年傳，襄公二十五年傳，襄公二十七年傳，襄公三十一年傳，昭公五年傳，昭公七年傳，昭公十二年傳，昭公十三年傳，昭公十四年傳，昭公十七年傳，昭公二十年傳，昭公二十八年傳，昭公二十九年傳，定公元年傳，定公九年傳，定公十年傳，定公十二年傳，定公十五年傳，哀公三年傳，哀公六年傳，哀公十一年傳，哀公十二年傳，哀公十四年傳，哀公十五年傳，哀公十六年經，哀公十六年傳,仲尼，孔子，孔丘，丘，尼父，夫子,,37,6
孟武伯,魯,哀公十一年傳，哀公十四年傳，哀公十五年傳，哀公十七年傳，哀公二十五年傳，哀公二十七年傳,孟孺子洩，孟孺子，孺子，武伯，孟武伯，彘,孟懿子之子武伯彘；孟懿子之子孟武伯；孟武伯名,13,6
季友,魯,莊公二十五年經，莊公二十七年經，莊公三十二年傳，閔公元年經，閔公元年傳，閔公二年傳，僖公元年經，僖公元年傳，僖公三年經，僖公七年經，僖公十三年經，僖公十六年經，昭公三十二年傳,公子友，季友，成季，季子，公子季友，成季友,,14,6
季武子,魯,襄公六年經，襄公六年傳，襄公七年經，襄公七年傳，襄公八年經，襄公八年傳，襄公九年經，襄公九年傳，襄公十一年傳，襄公十二年經，襄公十二年傳，襄公十四年經，襄公十四年傳，襄公十五年經，襄公十五年傳，襄公十九年經，襄公十九年傳，襄公二十年經，襄公二十年傳，襄公二十一年傳，襄公二十三年傳，襄公二十七年傳，襄公二十八年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公元年傳，昭公二年經，昭公二年傳，昭公三年傳，昭公四年傳，昭公五年傳，昭公六年傳，昭公七年經，昭公七年傳，昭公十三年傳，昭公三十二年傳，定公十二年傳,季孫宿，季武子，武子，季孫，宿，下臣,季孫行父之子；季平子祖父,53,6
宋莊公,宋,隱公三年傳，隱公四年傳，桓公二年傳，桓公十一年傳，桓公十二年經，桓公十三年經，莊公二年經，莊公三年經,馮，公子馮，莊公，宋莊公，宋公，宋公馮,宋穆公子,8,6
宋襄公,宋,僖公八年傳，僖公九年經，僖公九年傳，僖公十三年經，僖公十五年經，僖公十六年經，僖公十六年傳，僖公十七年傳，僖公十八年經，僖公十八年傳，僖公十九年經，僖公二十年傳，僖公二十一年經，僖公二十二年經，僖公二十三年經，僖公二十三年傳,大子茲父，宋子，襄公，宋公，宋襄公，宋公茲父,,16,6
屈建,楚,襄公二十二年傳，襄公二十三年傳，襄公二十五年經，襄公二十五年傳，襄公二十六年傳，襄公二十七年經，襄公二十七年傳，襄公二十八年傳，昭公元年傳，昭公二十年傳,屈建，楚令尹，令尹子木，子木，令尹，建,子木,14,6
崔杼,齊,宣公十年傳，成公十七年傳，成公十八年經，襄公元年經，襄公二年經，襄公二年傳，襄公六年傳，襄公九年傳，襄公十年傳，襄公十四年傳，襄公十九年傳，襄公二十三年傳，襄公二十四年經，襄公二十五年經，襄公二十五年傳，襄公二十七年傳，襄公二十八年傳,崔杼，崔子，崔武子，武子，杼，崔,祖齊丁公,26,6
晉獻公,晉,莊公二十三年傳，莊公二十四年傳，莊公二十五年傳，莊公二十七年傳，莊公二十八年傳，閔公元年傳，閔公二年傳，僖公二年傳，僖公四年傳，僖公六年傳，僖公九年經，僖公九年傳，僖公十五年傳，成公十三年傳，襄公二十九年傳，昭公十三年傳,獻公，晉侯，晉獻公，公，晉侯佹諸，獻,,17,6
晉襄公,晉,僖公三十三年傳，文公元年經，文公元年傳，文公二年經，文公二年傳，文公三年傳，文公四年經，文公六年經，文公十七年傳，成公十三年傳，昭公三年傳,公，晉侯，襄公，晉襄公，晉侯驩，襄,,14,6
曹成公,曹,成公十三年傳，成公十五年傳，成公十六年經，襄公十四年傳，襄公十九年經,公子負芻，負芻，成公，曹成公，曹伯，曹君,曹宣公庶子,7,6
楚康王,楚,襄公十四年傳，襄公十八年傳，襄公二十一年傳，襄公二十二年傳，襄公二十四年經，襄公二十五年傳，襄公二十六年經，襄公二十六年傳，襄公二十七年傳，襄公二十八年經，襄公二十八年傳，襄公二十九年傳，昭公十三年傳，昭公二十年傳,楚子，王，楚王，楚子昭，楚康王，康王,,15,6
楚莊王,楚,文公十四年傳，宣公元年經，宣公三年經，宣公四年經，宣公四年傳，宣公八年傳，宣公九年經，宣公十年經，宣公十一年經，宣公十一年傳，宣公十二年經，宣公十三年經，宣公十四年經，宣公十五年經，宣公十八年經，宣公十八年傳，成公二年傳，昭公元年傳，昭公二十七年傳,楚莊王，楚子，王，楚子旅，莊王，莊,,19,6
欒黶,晉,成公十六年經，成公十八年傳，襄公元年經，襄公九年傳，襄公十年傳，襄公十三年傳，襄公十四年傳，襄公十六年傳，襄公二十一年傳,欒黶，欒伯，黶，欒桓子，桓子，桓主,欒書子,13,6
秦穆公,秦,僖公十五年經，僖公二十三年傳，僖公二十四年傳，僖公二十五年傳，僖公三十年傳，僖公三十二年傳，僖公三十三年傳，文公元年傳，文公二年傳，文公三年傳，文公四年傳，文公六年傳，成公十三年傳,秦伯，穆公，秦穆公，秦穆，秦伯任好，穆,,18,6
罕達,鄭,定公十五年經，哀公二年經，哀公二年傳，哀公九年傳，哀公十二年傳，哀公十三年經，哀公十三年傳,罕達，子姚，罕，姚，武子賸，子賸,子齹之子,10,6
荀盈,晉,襄公十四年傳，襄公二十三年傳，襄公二十七年傳，襄公二十九年經，襄公二十九年傳，昭公五年傳，昭公九年傳,盈，知悼子，荀盈，伯夙，知伯，知盈,,9,6
